"Dpt","cp","localite","latitude","longitude","Voix","Data",
"91","91610","BALLANCOURT SUR ESSONNE","48.525487","2.387803","HS","HS",
"27","27000","EVREUX","49.03","1.17","HS","HS",
"88","88200","DOMMARTIN LES REMIREMONT","48.010553","6.617213","HS","HS",
"68","68100","MULHOUSE","47.729435","7.348894","HS","HS",
"60","60000","BEAUVAIS","49.415437","2.078437","HS","HS",
"33","33190","CASSEUIL","44.595821","-0.118627","HS","HS",
"44","44300","NANTES","47.25361","-1.528362","HS","HS",
"49","49100","ANGERS","47.477169","-0.584274","HS","HS",
"94","94140","ALFORTVILLE","48.80472","2.41184","HS","HS",
"31","31500","TOULOUSE","43.593707","1.477515","HS","HS",
"90","90000","BELFORT","47.64597","6.849635","HS","HS",
"71","71000","MACON","46.317231","4.835469","HS","HS",
"58","58000","NEVERS","46.98615","3.16107","HS","HS",
"71","71100","SAINT REMY","46.775824","4.817045","HS","HS",
"93","93300","AUBERVILLIERS","48.90555556","2.39","HS","HS",
"10","10000","TROYES","48.30471667","4.0674","HS","HS",
"91","91270","VIGNEUX SUR SEINE","48.70346","2.42865","HS","HS",
"60","60000","BEAUVAIS","49.421039","2.0801","HS","HS",
"93","93600","AULNAY SOUS BOIS","48.920692","2.49284","HS","HS",
"63","63100","CLERMONT FERRAND","45.78769","3.06024","HS","HS",
"75","75005","PARIS","48.842571","2.35229","HS","HS",
"71","71100","CHALON-SUR-SAONE","46.785837","4.857424","HS","HS",
"75","75018","PARIS","48.893281","2.339815","HS","HS",
"75","75012","PARIS","48.832598","2.399076","HS","HS",
"67","67500","HAGUENAU","48.80205","7.81113","HS","HS",
"44","44600","SAINT NAZAIRE","47.270446","-2.2428","HS","HS",
"01","01600","REYRIEUX","45.925278","4.803611","HS","HS",
"06","06690","TOURRETTE LEVENS","43.776591","7.264267","HS","HS",
"13","13600","La Ciotat","43.206043","5.608426","HS","HS",
"13","13500","MARTIGUES","43.39515","5.057065","HS","HS",
"69","69500","BRON","45.746743","4.90509","HS","HS",
"33","33400","TALENCE","44.79639","-0.59287","HS","HS",
"01","01590","DORTAN","46.31639","5.65166989","HS","HS",
"33","33770","SALLES","44.56359863","-0.86029873","HS","HS",
"76","76800","SAINT ETIENNE DU ROUVRAY","49.387202","1.088644","HS","HS",
"69","69740","GENAS","45.735101","5.002844","HS","HS",
"93","93110","ROSNY SOUS BOIS","48.866443","2.499986","HS","HS",
"20","20200","BASTIA","42.69416008","9.39916989","HS","HS",
"65","65270","SAINT-PE-DE-BIGORRE","43.095549","-0.144453","HS","HS",
"06","06650","OPIO","43.667461","6.998671","HS","HS",
"37","37000","TOURS","47.381","0.667","HS","HS",
"37","37100","TOURS","47.430753","0.678419","HS","HS",
"53","53000","LAVAL","48.07178","-0.76448","HS","HS",
"59","59650","VILLENEUVE D ASCQ","50.61808","3.14755","HS","HS",
"67","67000","STRASBOURG","48.584458","7.736689","HS","HS",
"67","67000","STRASBOURG","48.587254","7.778056","HS","HS",
